Time [s],Ship0_X [m],Ship0_Y [m],Ship0_Speed_Smoothed [m/s],Ship0_Heading_Smoothed [deg],Ship0_YawRate_Smoothed [deg/s],Ship0_Rudder_Smoothed [deg],Ship0_Thrust_Smoothed [N],Ship0_Thrust_Raw [N],Ship1_X [m],Ship1_Y [m],Ship1_Speed_Smoothed [m/s],Ship1_Heading_Smoothed [deg],Ship1_YawRate_Smoothed [deg/s],Ship1_Rudder_Smoothed [deg],Ship1_Thrust_Smoothed [N],Ship1_Thrust_Raw [N],Ship2_X [m],Ship2_Y [m],Ship2_Speed_Smoothed [m/s],Ship2_Heading_Smoothed [deg],Ship2_YawRate_Smoothed [deg/s],Ship2_Rudder_Smoothed [deg],Ship2_Thrust_Smoothed [N],Ship2_Thrust_Raw [N],Ship3_X [m],Ship3_Y [m],Ship3_Speed_Smoothed [m/s],Ship3_Heading_Smoothed [deg],Ship3_YawRate_Smoothed [deg/s],Ship3_Rudder_Smoothed [deg],Ship3_Thrust_Smoothed [N],Ship3_Thrust_Raw [N]
10.0,288.33071859886167,1132.8447550477931,4.749954320167534,-1.9006473247075797,-0.04037254833678544,-5.7863422073432265,17666938.298998877,19814862.593921278,1516.6410623465754,315.1908925441344,4.99868189062282,92.19622509989564,-0.020143014116994214,-2.5774384499850735,23455362.12049714,24196348.432926893,2712.5069146917226,1138.4479729420864,4.791749247152675,-179.39786943328883,-0.043799375262560225,-5.6781433528679965,19259596.1008472,19731489.348950416,439.12537621656566,2587.0853909825423,4.909424915937611,-42.61792876264042,-0.03528021347715111,-4.7526792649587275,21625631.62025443,22979741.74165742
10.5,290.1807844961413,1132.7665631042826,4.699785821382061,-1.921512335690842,-0.04223035270355719,-6.051067005098592,18022534.495098524,19666640.949015886,1516.5716345161684,317.2900909307018,4.961986371374302,92.18577233811116,-0.021202308239190382,-2.6754379725317987,23895406.83579957,24235055.829496708,2710.5489460125655,1138.4483835357896,4.751743243730716,-179.42043806197367,-0.04593206985640537,-5.894035346778923,19633097.908031803,20602044.38876309,440.73146905395237,2585.5794567713606,4.884952375310451,-42.636044169821126,-0.037181110457858366,-4.9148702206828006,22029997.721035346,23781990.720283065
11.0,292.02042588448944,1132.6868172705847,4.65058439782856,-1.9432948264599115,-0.04405367649470097,-6.306519363099705,18335871.81267305,17362240.088361733,1516.5027834732161,319.3814877139384,4.925954410230718,92.17477735519743,-0.022248970658019708,-2.7699438889063552,24280472.437937617,24268904.361374974,2708.5878979682175,1138.448811079328,4.712477019321241,-179.44407550421025,-0.04803346175062364,-6.100713663256578,19960149.95133615,20712905.69453422,442.3346480012621,2584.0746610304277,4.860925204883783,-42.655116445912796,-0.039077697190400384,-5.072376023491723,22382689.00249713,21553366.296296455
11.5,293.8486046017598,1132.6066332655523,4.6023674465848945,-1.9659756861849929,-0.04584288930256682,-6.552720087602007,18609570.243707485,18368104.590343576,1516.4345015922704,321.4660643107704,4.890602942320496,92.16324945001963,-0.02328167192397376,-2.8609557599875695,24614276.49939701,24298503.91620842,2706.629323823166,1138.452405589047,4.673964509401496,-179.46876400762096,-0.0501023818047763,-6.29817956913832,20243561.299464874,20256236.263768367,443.9336575719788,2582.5760041455856,4.837350614045557,-42.67514300321573,-0.040969019650280346,-5.225158301394442,22687069.06322807,21714960.473064877
12.0,295.66542449502094,1132.524517756657,4.555150038368475,-1.9895362207100566,-0.04759857714552257,-6.789712335349693,18846257.189365074,17911730.82444883,1516.3667839929499,323.5446789903037,4.855947127504718,92.1511986676052,-0.024299325456790116,-2.9484824135128216,24900538.033002358,24324387.827362496,2704.6713792237656,1138.4578680817929,4.636217759686268,-179.4944850825644,-0.05213789356399234,-6.486460619414253,20486210.873444635,20831016.605885886,445.5382831045961,2581.073588646583,4.814234699522253,-42.696120649243184,-0.04285435154736829,-5.373187002890421,22946504.27452731,23816347.093649186
12.5,297.4751575363981,1132.441868325241,4.508944981122313,-2.0139582911734824,-0.04932146994409148,-7.017563432627715,19048500.73632123,18623011.031552516,1516.2996281925962,325.61808232991217,4.822000403401644,92.13863556970632,-0.02530107144895849,-3.0325412593622705,25142940.582890235,24347022.483268484,2702.7195659687295,1138.463481524513,4.599247011888959,-179.52121971071716,-0.05413923562589107,-6.665612100571923,20691007.293190558,19192690.34697397,447.1432918846971,2579.566288423684,4.791582498005354,-42.71804590093075,-0.04473317014356921,-5.51643662124945,23164327.572685156,22650715.21917041
13.0,299.29092074861853,1132.358837356067,4.463762894306726,-2.039224388697482,-0.051012399141737864,-7.236363489149994,19218806.5904358,20198131.81831531,1516.2330338009683,327.68693073117885,4.788774540658563,92.12557103297709,-0.0262862592685268,-3.1131576310300946,25345100.603386756,24366815.730623044,2700.7751575708876,1138.4704140022957,4.563060777142378,-179.5489485041223,-0.05610580050780924,-6.835713520300638,20860829.818495058,20089789.637585767,448.7491577219162,2578.055521969213,4.769398055192182,-42.74091522846769,-0.04660508421860085,-5.654889439377854,23343860.246727213,23353032.49740409
13.5,301.1101088499116,1132.2751724632462,4.4196123089752195,-2.065317680721035,-0.052672281287518184,-7.446220066564341,19359656.905593123,18852783.291502077,1516.1670022506135,329.7517982391815,4.756279699949356,92.1120160744731,-0.027254428969598676,-3.1903641531542615,25510540.739902258,24384124.222788382,2698.8294510856476,1138.4776803110115,4.52766590026842,-179.57765185299357,-0.05803713568707638,-6.996865553284673,20998475.604140557,20796687.83698694,450.3515446445523,2576.5478186367077,4.747684494578265,-42.76472519217977,-0.048469749368800226,-5.788537916342153,23488403.218982194,21326288.48879577
14.0,302.93372026364017,1132.1915137718697,4.376499788984702,-2.0922220494395414,-0.05430210966709382,-7.647252910784372,19473544.972421683,19737875.26181232,1516.1015365583094,331.81318687808914,4.724524490241532,92.09798170353726,-0.028205292418012628,-3.2642001349166114,25642667.626627814,24399259.84577628,2696.881705508424,1138.4846018821463,4.493067630587928,-179.60731007788644,-0.05993294995384047,-7.149187383904618,21106651.823358748,20260428.755201492,451.9477286555905,2575.0451169007815,4.726444067464267,-42.78947248999406,-0.05032681071401782,-5.917381675628425,23601171.721002817,22019917.421043754
14.5,304.74874846202937,1132.1063724288424,4.334430049831542,-2.1199221208305303,-0.055902937778455945,-7.8395918393730835,19562958.27419302,17285236.42487203,1516.036641113977,333.87153568931916,4.693516027934111,92.08347879865482,-0.02913871444988079,-3.334710989070103,25744753.82063349,24412495.33759719,2694.9432217119543,1138.493203784819,4.45926970157658,-179.63790358730864,-0.06179311577006301,-7.2928142371273035,21187979.36981393,18928738.610723864,453.54530073614825,2573.541381882123,4.705678185745287,-42.815153946977524,-0.05217586378857787,-6.041423808103547,23685226.272844847,22951087.842495892
15.0,306.5523395528028,1132.0194414511113,4.293406052262238,-2.148403269343857,-0.057475848937253694,-8.023379611903309,19630310.468875702,18417002.35708221,1515.9723214940457,335.9272286351297,4.663259996518401,92.06851800751666,-0.030054694401186705,-3.4019476762996903,25819923.500268918,24424069.202228624,2693.002521113713,1138.5021831050997,4.426274403501118,-179.66941303048424,-0.06361765880626584,-7.427897357183011,21244962.588822123,21487647.038297378,455.1406448796788,2572.034302614417,4.685387456821715,-42.84176644549523,-0.054016402364857344,-6.16067149830689,23743461.588597987,22827362.43926173
15.5,308.35640628284517,1131.9305659511126,4.253429071337053,-2.1776515886178953,-0.05902192418757385,-8.198777367300996,19677879.87371918,19706045.28001727,1515.9085842966472,337.98060151007945,4.633760706458352,92.05310966830473,-0.03095334827672967,-3.465966174577273,25871141.566954568,24434190.006749187,2691.051687504345,1138.5105790249381,4.394082656869766,-179.70181943374135,-0.0654067411728375,-7.554601978081806,21279981.724097818,21000290.707225285,456.7333368659971,2570.5253970366316,4.665571730672233,-42.86930676927397,-0.055847744574175254,-6.275141884351975,23778640.280974172,22823460.311508145
16.0,310.16753843283,1131.8417918544812,4.2144987713390965,-2.207653846211336,-0.0605422356399864,-8.365965307763915,19707823.39612876,19627312.77269696,1515.8454369963117,340.03194798490523,4.605021155026514,92.0372637500844,-0.03183489176559955,-3.526826973129342,25901205.802986488,24443040.139070302,2689.092624769258,1138.5199780732726,4.362694108973809,-179.73510431680853,-0.06716064216167973,-7.673101925783658,21295344.85222215,21274614.555154253,458.3268706323218,2569.014401716985,4.646230150924331,-42.897771356182076,-0.05766897125455776,-6.384866905090787,23793414.93278492,23042823.836223572
16.5,311.9799725694284,1131.7535832523313,4.176613306072059,-2.2383974640040885,-0.06203787567002765,-8.525135530330127,19722234.158424623,18550800.500113003,1515.7828878160465,342.0815248917313,4.577043085866349,92.02098981014029,-0.03269962425733616,-3.5845945905981003,25912741.75337129,24450779.093977463,2687.133970015105,1138.5310357173014,4.33210724412795,-179.76924977639035,-0.06887972218936637,-7.783576671256114,21293326.16774374,19851447.908634692,459.9163559594811,2567.50424546883,4.627361203169457,-42.927156002428404,-0.05947891117294896,-6.489893790608009,23790326.86226908,22172922.360425755
17.0,313.7823315322229,1131.6650018562125,4.139769422122386,-2.2698705513933164,-0.0635099958836821,-8.67648379767311,19723140.7408678,17436802.08151584,1515.7209456148985,344.12955684585114,4.549827048082215,92.00429696610621,-0.03354791396726335,-3.6393371169428117,25908200.0165264,24457546.346692525,2685.1839005049865,1138.54251100855,4.302319476693204,-179.80423851439295,-0.07056436943242307,-7.886210605888643,21276132.31617382,19089714.08683645,461.49683034067306,2565.9996025779287,4.608962753204931,-42.957455573187254,-0.061276165551280265,-6.590285751001111,23771782.018016234,21536980.018049236
17.5,315.5749950586193,1131.5768978630224,4.10396253521584,-2.302061979470395,-0.06495982523794744,-8.820205280996838,19712433.35112224,17837406.54768598,1515.6596197892793,346.1762402873643,4.523372454685378,91.98719388080589,-0.034380184240515234,-3.6911257785977267,25889855.646535713,24463463.86573551,2683.2396967948307,1138.5568051241203,4.273327212331644,-179.8400537996785,-0.0722149425703999,-7.981193188905332,21245829.086765666,20333285.810311817,463.0703907262866,2564.499273070603,4.5910320661088555,-42.98866375280666,-0.0630591551387988,-6.686123317864555,23740004.39915826,22221715.124064993
18.0,317.35769359865924,1131.4877424723863,4.06918677928723,-2.3349614634783764,-0.06638866120670084,-8.956492563457136,19691790.535952136,17618116.977488052,1515.598920186488,348.22174701549625,4.497677640248263,91.96968875782322,-0.035196901071347354,-3.740034526375978,25859809.388201095,24468638.31036404,2681.2974236059786,1138.5738877048823,4.24512589160551,-179.87667936370724,-0.07383171475467275,-8.06872318277816,21204305.380555462,20312687.522431076,464.641631728953,2563.000769604358,4.573565813810828,-43.02077286019231,-0.06482619029383987,-6.777503429165582,23697006.06441323,22304073.5167026
18.5,319.1427196774956,1131.3975825057632,4.035435050746047,-2.368559625009318,-0.0677978407397736,-9.085535819995014,19662665.987193838,19717232.966565844,1515.5388570290359,350.26622727928475,4.472739917640237,91.95178934595143,-0.03599856184684195,-3.7861396455851644,25819990.48507509,24473162.9521847,2679.3590439860723,1138.592121377333,4.217710036708545,-179.91409924098204,-0.07541483334443833,-8.149013376749204,21153294.354167968,19736884.705950644,466.21248333058196,2561.500523389848,4.5565600906586,-43.053773756103325,-0.06657555963775252,-6.864537326820526,23644604.308912598,23064555.57763913
19.0,320.93373081955343,1131.3076468941879,4.002699072248377,-2.4028480193448694,-0.06918870392407374,-9.207522317956903,19626340.385425266,18701950.952257283,1515.4794408485159,352.309812480323,4.448555633736848,91.93350295081945,-0.03678568530150005,-3.82951938779975,25772160.81973972,24477119.355559982,2677.4290590940295,1138.61255690414,4.191073300365561,-179.952297587421,-0.0769643141966314,-8.22229165670667,21094389.797420755,19471672.548847727,467.7834816791885,2559.999640835977,4.5400104451649375,-43.087655854368315,-0.06830562166879442,-6.947348816125289,23584463.54933714,22304436.617469653
19.5,322.72569083479135,1131.2168844787761,3.9709694803782405,-2.4378191251802326,-0.07056255731478352,-9.32263248238701,19583985.351836156,18666800.780244563,1515.4206824278858,354.35261753625645,4.425120224010934,91.91483645215332,-0.03755880265092687,-3.870253623717777,25717920.16458517,24480578.847088337,2675.4984880487,1138.633648697234,4.165208508846316,-179.99125851979633,-0.07848006929937872,-8.288800624544377,21029037.55892128,20886090.261038627,469.3494027306531,2558.502039331009,4.523911918055754,-43.12240723253374,-0.070014889748181,-7.026072133945699,23518116.43792153,21741661.06206048
20.0,324.513705486173,1131.1228431878853,3.940235915673615,-2.473466284658957,-0.07192062139493628,-9.431039938660117,19536680.53954761,18415748.266081475,1515.362592751169,356.394742947619,4.402428265928623,91.89579632529554,-0.03831844985835819,-3.908423516514503,25658712.340049393,24483603.800633624,2673.5669164995293,1138.6544785371375,4.140107708555099,-180.03096601024046,-0.079961959314271,-8.348794172886079,20958547.35447721,19777946.59921821,470.918604091771,2557.001721411764,4.508259075817211,-43.15801483340464,-0.07170210937339529,-7.100848662399417,23446956.616417397,23518647.67143433
